Погран. переход;Дата;Время;Очередь на выезд
Брест;08.03.2024;00:00;300
Брест;08.03.2024;02:00;300
Брест;08.03.2024;04:00;250
Брест;08.03.2024;06:00;170
Брест;08.03.2024;08:00;170
Брест;08.03.2024;10:00;170
Брест;08.03.2024;12:00;110
Брест;08.03.2024;14:00;80
Брест;08.03.2024;16:00;70
Брест;08.03.2024;18:00;20
Брест;08.03.2024;20:00;0
Брест;08.03.2024;22:00;0
Каменный лог;08.03.2024;00:00;190
Каменный лог;08.03.2024;02:00;190
Каменный лог;08.03.2024;04:00;190
Каменный лог;08.03.2024;06:00;190
Каменный лог;08.03.2024;08:00;190
Каменный лог;08.03.2024;10:00;190
Каменный лог;08.03.2024;12:00;150
Каменный лог;08.03.2024;14:00;110
Каменный лог;08.03.2024;16:00;60
Каменный лог;08.03.2024;18:00;30
Каменный лог;08.03.2024;20:00;0
Каменный лог;08.03.2024;22:00;10
Бенякони;08.03.2024;00:00;170
Бенякони;08.03.2024;02:00;160
Бенякони;08.03.2024;04:00;160
Бенякони;08.03.2024;06:00;160
Бенякони;08.03.2024;08:00;160
Бенякони;08.03.2024;10:00;105
Бенякони;08.03.2024;12:00;85
Бенякони;08.03.2024;14:00;70
Бенякони;08.03.2024;16:00;65
Бенякони;08.03.2024;18:00;70
Бенякони;08.03.2024;20:00;60
Бенякони;08.03.2024;22:00;35
Григоровщина;08.03.2024;00:00;70
Григоровщина;08.03.2024;02:00;70
Григоровщина;08.03.2024;04:00;40
Григоровщина;08.03.2024;06:00;30
Григоровщина;08.03.2024;08:00;30
Григоровщина;08.03.2024;10:00;30
Григоровщина;08.03.2024;12:00;30
Григоровщина;08.03.2024;14:00;15
Григоровщина;08.03.2024;16:00;15
Григоровщина;08.03.2024;18:00;10
Григоровщина;08.03.2024;20:00;0
Григоровщина;08.03.2024;22:00;0
