Погран. переход;Дата;Время;Очередь на выезд
Брест;23.02.2024;00:00;230
Брест;23.02.2024;02:00;230
Брест;23.02.2024;04:00;230
Брест;23.02.2024;06:00;230
Брест;23.02.2024;08:00;150
Брест;23.02.2024;10:00;150
Брест;23.02.2024;12:00;150
Брест;23.02.2024;14:00;140
Брест;23.02.2024;18:00;180
Брест;23.02.2024;20:00;180
Брест;23.02.2024;22:00;180
Каменный лог;23.02.2024;00:00;120
Каменный лог;23.02.2024;02:00;120
Каменный лог;23.02.2024;04:00;120
Каменный лог;23.02.2024;06:00;110
Каменный лог;23.02.2024;08:00;110
Каменный лог;23.02.2024;10:00;110
Каменный лог;23.02.2024;12:00;100
Каменный лог;23.02.2024;14:00;90
Каменный лог;23.02.2024;18:00;80
Каменный лог;23.02.2024;20:00;40
Каменный лог;23.02.2024;22:00;20
Бенякони;23.02.2024;00:00;95
Бенякони;23.02.2024;02:00;75
Бенякони;23.02.2024;04:00;85
Бенякони;23.02.2024;06:00;80
Бенякони;23.02.2024;08:00;70
Бенякони;23.02.2024;10:00;45
Бенякони;23.02.2024;12:00;60
Бенякони;23.02.2024;14:00;70
Бенякони;23.02.2024;18:00;95
Бенякони;23.02.2024;20:00;85
Бенякони;23.02.2024;22:00;80
Григоровщина;23.02.2024;00:00;0
Григоровщина;23.02.2024;02:00;0
Григоровщина;23.02.2024;04:00;0
Григоровщина;23.02.2024;06:00;0
Григоровщина;23.02.2024;08:00;0
Григоровщина;23.02.2024;10:00;0
Григоровщина;23.02.2024;12:00;0
Григоровщина;23.02.2024;14:00;0
Григоровщина;23.02.2024;18:00;0
Григоровщина;23.02.2024;20:00;0
Григоровщина;23.02.2024;22:00;0
