Погран. переход;Дата;Время;Очередь на выезд
Брест;03.03.2024;00:00;0
Брест;03.03.2024;02:00;0
Брест;03.03.2024;04:00;0
Брест;03.03.2024;06:00;10
Брест;03.03.2024;08:00;80
Брест;03.03.2024;10:00;120
Брест;03.03.2024;12:00;120
Брест;03.03.2024;14:00;250
Брест;03.03.2024;16:00;300
Брест;03.03.2024;18:00;300
Брест;03.03.2024;20:00;300
Брест;03.03.2024;22:00;300
Каменный лог;03.03.2024;00:00;0
Каменный лог;03.03.2024;02:00;0
Каменный лог;03.03.2024;04:00;0
Каменный лог;03.03.2024;06:00;10
Каменный лог;03.03.2024;08:00;30
Каменный лог;03.03.2024;10:00;30
Каменный лог;03.03.2024;12:00;35
Каменный лог;03.03.2024;14:00;60
Каменный лог;03.03.2024;16:00;90
Каменный лог;03.03.2024;18:00;100
Каменный лог;03.03.2024;20:00;110
Каменный лог;03.03.2024;22:00;90
Бенякони;03.03.2024;00:00;10
Бенякони;03.03.2024;02:00;0
Бенякони;03.03.2024;04:00;0
Бенякони;03.03.2024;06:00;0
Бенякони;03.03.2024;08:00;0
Бенякони;03.03.2024;10:00;30
Бенякони;03.03.2024;12:00;70
Бенякони;03.03.2024;14:00;90
Бенякони;03.03.2024;16:00;100
Бенякони;03.03.2024;18:00;110
Бенякони;03.03.2024;20:00;90
Бенякони;03.03.2024;22:00;90
Григоровщина;03.03.2024;00:00;0
Григоровщина;03.03.2024;02:00;0
Григоровщина;03.03.2024;04:00;0
Григоровщина;03.03.2024;06:00;0
Григоровщина;03.03.2024;08:00;0
Григоровщина;03.03.2024;10:00;0
Григоровщина;03.03.2024;12:00;0
Григоровщина;03.03.2024;14:00;0
Григоровщина;03.03.2024;16:00;0
Григоровщина;03.03.2024;18:00;0
Григоровщина;03.03.2024;20:00;0
Григоровщина;03.03.2024;22:00;0
