Погран. переход;Дата;Время;Очередь на выезд
Брест;09.02.2024;00:00;120
Брест;09.02.2024;02:00;110
Брест;09.02.2024;04:00;120
Брест;09.02.2024;06:00;50
Брест;09.02.2024;08:00;40
Брест;09.02.2024;10:00;40
Брест;09.02.2024;12:00;0
Брест;09.02.2024;14:00;0
Брест;09.02.2024;16:00;0
Брест;09.02.2024;18:00;60
Брест;09.02.2024;20:00;120
Брест;09.02.2024;22:00;120
Каменный лог;09.02.2024;00:00;50
Каменный лог;09.02.2024;02:00;50
Каменный лог;09.02.2024;04:00;60
Каменный лог;09.02.2024;06:00;40
Каменный лог;09.02.2024;08:00;30
Каменный лог;09.02.2024;10:00;10
Каменный лог;09.02.2024;12:00;10
Каменный лог;09.02.2024;14:00;30
Каменный лог;09.02.2024;16:00;30
Каменный лог;09.02.2024;18:00;30
Каменный лог;09.02.2024;20:00;35
Каменный лог;09.02.2024;22:00;40
Бенякони;09.02.2024;00:00;60
Бенякони;09.02.2024;02:00;45
Бенякони;09.02.2024;04:00;35
Бенякони;09.02.2024;06:00;20
Бенякони;09.02.2024;08:00;15
Бенякони;09.02.2024;10:00;25
Бенякони;09.02.2024;12:00;30
Бенякони;09.02.2024;14:00;20
Бенякони;09.02.2024;16:00;20
Бенякони;09.02.2024;18:00;15
Бенякони;09.02.2024;20:00;10
Бенякони;09.02.2024;22:00;15
Григоровщина;09.02.2024;00:00;0
Григоровщина;09.02.2024;02:00;0
Григоровщина;09.02.2024;04:00;0
Григоровщина;09.02.2024;06:00;0
Григоровщина;09.02.2024;08:00;0
Григоровщина;09.02.2024;10:00;0
Григоровщина;09.02.2024;12:00;0
Григоровщина;09.02.2024;14:00;0
Григоровщина;09.02.2024;16:00;0
Григоровщина;09.02.2024;18:00;0
Григоровщина;09.02.2024;20:00;0
Григоровщина;09.02.2024;22:00;0
