Погран. переход;Дата;Время;Очередь на выезд
Брест;12.01.2024;00:00;200
Брест;12.01.2024;02:00;130
Брест;12.01.2024;04:00;80
Брест;12.01.2024;06:00;60
Брест;12.01.2024;08:00;45
Брест;12.01.2024;10:00;20
Брест;12.01.2024;12:00;20
Брест;12.01.2024;14:00;10
Брест;12.01.2024;16:00;10
Брест;12.01.2024;18:00;15
Брест;12.01.2024;20:00;0
Брест;12.01.2024;22:00;10
Каменный лог;12.01.2024;00:00;50
Каменный лог;12.01.2024;02:00;60
Каменный лог;12.01.2024;04:00;50
Каменный лог;12.01.2024;06:00;30
Каменный лог;12.01.2024;08:00;0
Каменный лог;12.01.2024;10:00;0
Каменный лог;12.01.2024;12:00;0
Каменный лог;12.01.2024;14:00;0
Каменный лог;12.01.2024;16:00;0
Каменный лог;12.01.2024;18:00;0
Каменный лог;12.01.2024;20:00;0
Каменный лог;12.01.2024;22:00;0
Бенякони;12.01.2024;00:00;160
Бенякони;12.01.2024;02:00;160
Бенякони;12.01.2024;04:00;100
Бенякони;12.01.2024;06:00;65
Бенякони;12.01.2024;08:00;55
Бенякони;12.01.2024;10:00;55
Бенякони;12.01.2024;12:00;20
Бенякони;12.01.2024;14:00;15
Бенякони;12.01.2024;16:00;0
Бенякони;12.01.2024;18:00;0
Бенякони;12.01.2024;20:00;0
Бенякони;12.01.2024;22:00;0
Григоровщина;12.01.2024;00:00;0
Григоровщина;12.01.2024;02:00;0
Григоровщина;12.01.2024;04:00;0
Григоровщина;12.01.2024;06:00;0
Григоровщина;12.01.2024;08:00;0
Григоровщина;12.01.2024;10:00;0
Григоровщина;12.01.2024;12:00;0
Григоровщина;12.01.2024;14:00;0
Григоровщина;12.01.2024;16:00;0
Григоровщина;12.01.2024;18:00;0
Григоровщина;12.01.2024;20:00;0
Григоровщина;12.01.2024;22:00;0
