Погран. переход;Дата;Время;Очередь на выезд
Брест;22.02.2024;00:00;200
Брест;22.02.2024;02:00;200
Брест;22.02.2024;04:00;170
Брест;22.02.2024;06:00;90
Брест;22.02.2024;08:00;90
Брест;22.02.2024;10:00;110
Брест;22.02.2024;12:00;110
Брест;22.02.2024;14:00;110
Брест;22.02.2024;16:00;210
Брест;22.02.2024;18:00;215
Брест;22.02.2024;20:00;230
Брест;22.02.2024;22:00;230
Каменный лог;22.02.2024;00:00;90
Каменный лог;22.02.2024;02:00;90
Каменный лог;22.02.2024;04:00;115
Каменный лог;22.02.2024;06:00;105
Каменный лог;22.02.2024;08:00;110
Каменный лог;22.02.2024;10:00;100
Каменный лог;22.02.2024;12:00;110
Каменный лог;22.02.2024;14:00;110
Каменный лог;22.02.2024;16:00;110
Каменный лог;22.02.2024;18:00;130
Каменный лог;22.02.2024;20:00;120
Каменный лог;22.02.2024;22:00;120
Бенякони;22.02.2024;00:00;70
Бенякони;22.02.2024;02:00;70
Бенякони;22.02.2024;04:00;60
Бенякони;22.02.2024;06:00;80
Бенякони;22.02.2024;08:00;80
Бенякони;22.02.2024;10:00;80
Бенякони;22.02.2024;12:00;80
Бенякони;22.02.2024;14:00;100
Бенякони;22.02.2024;16:00;100
Бенякони;22.02.2024;18:00;100
Бенякони;22.02.2024;20:00;95
Бенякони;22.02.2024;22:00;95
Григоровщина;22.02.2024;00:00;0
Григоровщина;22.02.2024;02:00;0
Григоровщина;22.02.2024;04:00;0
Григоровщина;22.02.2024;06:00;0
Григоровщина;22.02.2024;08:00;0
Григоровщина;22.02.2024;10:00;0
Григоровщина;22.02.2024;12:00;0
Григоровщина;22.02.2024;14:00;0
Григоровщина;22.02.2024;16:00;0
Григоровщина;22.02.2024;18:00;0
Григоровщина;22.02.2024;20:00;0
Григоровщина;22.02.2024;22:00;0
