Погран. переход;Дата;Время;Очередь на выезд
Брест;22.01.2024;00:00;50
Брест;22.01.2024;02:00;60
Брест;22.01.2024;04:00;60
Брест;22.01.2024;06:00;30
Брест;22.01.2024;08:00;30
Брест;22.01.2024;10:00;20
Брест;22.01.2024;12:00;0
Брест;22.01.2024;14:00;0
Брест;22.01.2024;16:00;0
Брест;22.01.2024;18:00;0
Брест;22.01.2024;20:00;0
Брест;22.01.2024;22:00;0
Каменный лог;22.01.2024;00:00;10
Каменный лог;22.01.2024;02:00;0
Каменный лог;22.01.2024;04:00;0
Каменный лог;22.01.2024;06:00;0
Каменный лог;22.01.2024;08:00;0
Каменный лог;22.01.2024;10:00;0
Каменный лог;22.01.2024;12:00;0
Каменный лог;22.01.2024;14:00;0
Каменный лог;22.01.2024;16:00;0
Каменный лог;22.01.2024;18:00;0
Каменный лог;22.01.2024;20:00;0
Каменный лог;22.01.2024;22:00;0
Бенякони;22.01.2024;00:00;30
Бенякони;22.01.2024;02:00;25
Бенякони;22.01.2024;04:00;10
Бенякони;22.01.2024;06:00;0
Бенякони;22.01.2024;08:00;0
Бенякони;22.01.2024;10:00;0
Бенякони;22.01.2024;12:00;0
Бенякони;22.01.2024;14:00;0
Бенякони;22.01.2024;16:00;0
Бенякони;22.01.2024;18:00;0
Бенякони;22.01.2024;20:00;0
Бенякони;22.01.2024;22:00;0
Григоровщина;22.01.2024;00:00;0
Григоровщина;22.01.2024;02:00;0
Григоровщина;22.01.2024;04:00;0
Григоровщина;22.01.2024;06:00;0
Григоровщина;22.01.2024;08:00;0
Григоровщина;22.01.2024;10:00;0
Григоровщина;22.01.2024;12:00;0
Григоровщина;22.01.2024;14:00;0
Григоровщина;22.01.2024;16:00;0
Григоровщина;22.01.2024;18:00;0
Григоровщина;22.01.2024;20:00;0
Григоровщина;22.01.2024;22:00;0
