Погран. переход;Дата;Время;Очередь на выезд
Брест;02.02.2024;00:00;150
Брест;02.02.2024;02:00;150
Брест;02.02.2024;04:00;140
Брест;02.02.2024;06:00;120
Брест;02.02.2024;08:00;70
Брест;02.02.2024;10:00;105
Брест;02.02.2024;12:00;70
Брест;02.02.2024;14:00;70
Брест;02.02.2024;16:00;50
Брест;02.02.2024;18:00;70
Брест;02.02.2024;20:00;160
Брест;02.02.2024;22:00;160
Каменный лог;02.02.2024;00:00;80
Каменный лог;02.02.2024;02:00;80
Каменный лог;02.02.2024;04:00;70
Каменный лог;02.02.2024;06:00;50
Каменный лог;02.02.2024;08:00;40
Каменный лог;02.02.2024;10:00;10
Каменный лог;02.02.2024;12:00;30
Каменный лог;02.02.2024;14:00;45
Каменный лог;02.02.2024;16:00;40
Каменный лог;02.02.2024;18:00;20
Каменный лог;02.02.2024;20:00;0
Каменный лог;02.02.2024;22:00;0
Бенякони;02.02.2024;00:00;40
Бенякони;02.02.2024;02:00;40
Бенякони;02.02.2024;04:00;30
Бенякони;02.02.2024;06:00;20
Бенякони;02.02.2024;08:00;20
Бенякони;02.02.2024;10:00;15
Бенякони;02.02.2024;12:00;10
Бенякони;02.02.2024;14:00;20
Бенякони;02.02.2024;16:00;10
Бенякони;02.02.2024;18:00;20
Бенякони;02.02.2024;20:00;10
Бенякони;02.02.2024;22:00;10
Григоровщина;02.02.2024;00:00;0
Григоровщина;02.02.2024;02:00;0
Григоровщина;02.02.2024;04:00;0
Григоровщина;02.02.2024;06:00;0
Григоровщина;02.02.2024;08:00;0
Григоровщина;02.02.2024;10:00;0
Григоровщина;02.02.2024;12:00;0
Григоровщина;02.02.2024;14:00;0
Григоровщина;02.02.2024;16:00;0
Григоровщина;02.02.2024;18:00;0
Григоровщина;02.02.2024;20:00;0
Григоровщина;02.02.2024;22:00;0
