Погран. переход;Дата;Время;Очередь на выезд
Брест;12.04.2024;00:00;455
Брест;12.04.2024;02:00;460
Брест;12.04.2024;04:00;360
Брест;12.04.2024;06:00;370
Брест;12.04.2024;08:00;225
Брест;12.04.2024;10:00;225
Брест;12.04.2024;12:00;225
Брест;12.04.2024;14:00;250
Брест;12.04.2024;16:00;250
Брест;12.04.2024;18:00;250
Брест;12.04.2024;20:00;350
Брест;12.04.2024;22:00;300
Каменный лог;12.04.2024;00:00;140
Каменный лог;12.04.2024;02:00;140
Каменный лог;12.04.2024;04:00;120
Каменный лог;12.04.2024;06:00;110
Каменный лог;12.04.2024;08:00;100
Каменный лог;12.04.2024;10:00;90
Каменный лог;12.04.2024;12:00;60
Каменный лог;12.04.2024;14:00;70
Каменный лог;12.04.2024;16:00;60
Каменный лог;12.04.2024;18:00;40
Каменный лог;12.04.2024;20:00;40
Каменный лог;12.04.2024;22:00;40
Бенякони;12.04.2024;00:00;90
Бенякони;12.04.2024;02:00;90
Бенякони;12.04.2024;04:00;75
Бенякони;12.04.2024;06:00;70
Бенякони;12.04.2024;08:00;60
Бенякони;12.04.2024;10:00;60
Бенякони;12.04.2024;12:00;60
Бенякони;12.04.2024;14:00;60
Бенякони;12.04.2024;16:00;90
Бенякони;12.04.2024;18:00;100
Бенякони;12.04.2024;20:00;90
Бенякони;12.04.2024;22:00;80
Григоровщина;12.04.2024;00:00;0
Григоровщина;12.04.2024;02:00;0
Григоровщина;12.04.2024;04:00;0
Григоровщина;12.04.2024;06:00;0
Григоровщина;12.04.2024;08:00;0
Григоровщина;12.04.2024;10:00;0
Григоровщина;12.04.2024;12:00;0
Григоровщина;12.04.2024;14:00;0
Григоровщина;12.04.2024;16:00;0
Григоровщина;12.04.2024;18:00;0
Григоровщина;12.04.2024;20:00;0
Григоровщина;12.04.2024;22:00;0
