Погран. переход;Дата;Время;Очередь на выезд
Брест;14.02.2024;00:00;200
Брест;14.02.2024;02:00;200
Брест;14.02.2024;04:00;200
Брест;14.02.2024;06:00;100
Брест;14.02.2024;08:00;100
Брест;14.02.2024;10:00;60
Брест;14.02.2024;12:00;75
Брест;14.02.2024;14:00;60
Брест;14.02.2024;16:00;60
Брест;14.02.2024;18:00;50
Брест;14.02.2024;20:00;80
Брест;14.02.2024;22:00;110
Каменный лог;14.02.2024;00:00;0
Каменный лог;14.02.2024;02:00;0
Каменный лог;14.02.2024;04:00;0
Каменный лог;14.02.2024;06:00;0
Каменный лог;14.02.2024;08:00;0
Каменный лог;14.02.2024;10:00;0
Каменный лог;14.02.2024;12:00;0
Каменный лог;14.02.2024;14:00;20
Каменный лог;14.02.2024;16:00;30
Каменный лог;14.02.2024;18:00;50
Каменный лог;14.02.2024;20:00;70
Каменный лог;14.02.2024;22:00;70
Бенякони;14.02.2024;00:00;0
Бенякони;14.02.2024;02:00;0
Бенякони;14.02.2024;04:00;0
Бенякони;14.02.2024;06:00;0
Бенякони;14.02.2024;08:00;0
Бенякони;14.02.2024;10:00;0
Бенякони;14.02.2024;12:00;0
Бенякони;14.02.2024;14:00;0
Бенякони;14.02.2024;16:00;0
Бенякони;14.02.2024;18:00;0
Бенякони;14.02.2024;20:00;20
Бенякони;14.02.2024;22:00;10
Григоровщина;14.02.2024;00:00;0
Григоровщина;14.02.2024;02:00;0
Григоровщина;14.02.2024;04:00;0
Григоровщина;14.02.2024;06:00;0
Григоровщина;14.02.2024;08:00;0
Григоровщина;14.02.2024;10:00;0
Григоровщина;14.02.2024;12:00;0
Григоровщина;14.02.2024;14:00;0
Григоровщина;14.02.2024;16:00;0
Григоровщина;14.02.2024;18:00;0
Григоровщина;14.02.2024;20:00;0
Григоровщина;14.02.2024;22:00;0
