Погран. переход;Дата;Время;Очередь на выезд
Брест;13.02.2024;00:00;140
Брест;13.02.2024;02:00;140
Брест;13.02.2024;04:00;100
Брест;13.02.2024;06:00;70
Брест;13.02.2024;08:00;60
Брест;13.02.2024;10:00;50
Брест;13.02.2024;12:00;60
Брест;13.02.2024;14:00;100
Брест;13.02.2024;16:00;160
Брест;13.02.2024;18:00;170
Брест;13.02.2024;20:00;170
Брест;13.02.2024;22:00;200
Каменный лог;13.02.2024;00:00;30
Каменный лог;13.02.2024;02:00;30
Каменный лог;13.02.2024;04:00;30
Каменный лог;13.02.2024;06:00;0
Каменный лог;13.02.2024;08:00;0
Каменный лог;13.02.2024;10:00;0
Каменный лог;13.02.2024;12:00;0
Каменный лог;13.02.2024;14:00;0
Каменный лог;13.02.2024;16:00;0
Каменный лог;13.02.2024;18:00;0
Каменный лог;13.02.2024;20:00;0
Каменный лог;13.02.2024;22:00;0
Бенякони;13.02.2024;00:00;10
Бенякони;13.02.2024;02:00;10
Бенякони;13.02.2024;04:00;0
Бенякони;13.02.2024;06:00;0
Бенякони;13.02.2024;08:00;0
Бенякони;13.02.2024;10:00;0
Бенякони;13.02.2024;12:00;0
Бенякони;13.02.2024;14:00;0
Бенякони;13.02.2024;16:00;0
Бенякони;13.02.2024;18:00;0
Бенякони;13.02.2024;20:00;0
Бенякони;13.02.2024;22:00;0
Григоровщина;13.02.2024;00:00;0
Григоровщина;13.02.2024;02:00;0
Григоровщина;13.02.2024;04:00;0
Григоровщина;13.02.2024;06:00;0
Григоровщина;13.02.2024;08:00;0
Григоровщина;13.02.2024;10:00;0
Григоровщина;13.02.2024;12:00;0
Григоровщина;13.02.2024;14:00;0
Григоровщина;13.02.2024;16:00;0
Григоровщина;13.02.2024;18:00;0
Григоровщина;13.02.2024;20:00;0
Григоровщина;13.02.2024;22:00;0
