Погран. переход;Дата;Время;Очередь на выезд
Брест;07.03.2024;00:00;270
Брест;07.03.2024;02:00;270
Брест;07.03.2024;04:00;290
Брест;07.03.2024;06:00;240
Брест;07.03.2024;08:00;250
Брест;07.03.2024;10:00;250
Брест;07.03.2024;12:00;250
Брест;07.03.2024;14:00;250
Брест;07.03.2024;16:00;250
Брест;07.03.2024;18:00;250
Брест;07.03.2024;20:00;300
Брест;07.03.2024;22:00;300
Каменный лог;07.03.2024;00:00;175
Каменный лог;07.03.2024;02:00;155
Каменный лог;07.03.2024;04:00;130
Каменный лог;07.03.2024;06:00;130
Каменный лог;07.03.2024;08:00;140
Каменный лог;07.03.2024;10:00;120
Каменный лог;07.03.2024;12:00;120
Каменный лог;07.03.2024;14:00;150
Каменный лог;07.03.2024;16:00;180
Каменный лог;07.03.2024;18:00;190
Каменный лог;07.03.2024;20:00;190
Каменный лог;07.03.2024;22:00;180
Бенякони;07.03.2024;00:00;140
Бенякони;07.03.2024;02:00;150
Бенякони;07.03.2024;04:00;150
Бенякони;07.03.2024;06:00;150
Бенякони;07.03.2024;08:00;150
Бенякони;07.03.2024;10:00;150
Бенякони;07.03.2024;12:00;150
Бенякони;07.03.2024;14:00;155
Бенякони;07.03.2024;16:00;165
Бенякони;07.03.2024;18:00;190
Бенякони;07.03.2024;20:00;195
Бенякони;07.03.2024;22:00;180
Григоровщина;07.03.2024;00:00;40
Григоровщина;07.03.2024;02:00;40
Григоровщина;07.03.2024;04:00;40
Григоровщина;07.03.2024;06:00;30
Григоровщина;07.03.2024;08:00;30
Григоровщина;07.03.2024;10:00;40
Григоровщина;07.03.2024;12:00;30
Григоровщина;07.03.2024;14:00;45
Григоровщина;07.03.2024;16:00;45
Григоровщина;07.03.2024;18:00;45
Григоровщина;07.03.2024;20:00;70
Григоровщина;07.03.2024;22:00;70
