Погран. переход;Дата;Время;Очередь на выезд
Брест;25.04.2024;00:00;250
Брест;25.04.2024;02:00;300
Брест;25.04.2024;04:00;200
Брест;25.04.2024;06:00;150
Брест;25.04.2024;08:00;150
Брест;25.04.2024;10:00;195
Брест;25.04.2024;12:00;195
Брест;25.04.2024;14:00;230
Брест;25.04.2024;16:00;230
Брест;25.04.2024;18:00;300
Брест;25.04.2024;20:00;300
Брест;25.04.2024;22:00;300
Каменный лог;25.04.2024;00:00;150
Каменный лог;25.04.2024;02:00;140
Каменный лог;25.04.2024;04:00;150
Каменный лог;25.04.2024;06:00;120
Каменный лог;25.04.2024;08:00;120
Каменный лог;25.04.2024;10:00;140
Каменный лог;25.04.2024;12:00;140
Каменный лог;25.04.2024;14:00;110
Каменный лог;25.04.2024;16:00;110
Каменный лог;25.04.2024;18:00;120
Каменный лог;25.04.2024;20:00;120
Каменный лог;25.04.2024;22:00;115
Бенякони;25.04.2024;00:00;80
Бенякони;25.04.2024;02:00;100
Бенякони;25.04.2024;04:00;95
Бенякони;25.04.2024;06:00;90
Бенякони;25.04.2024;08:00;95
Бенякони;25.04.2024;10:00;110
Бенякони;25.04.2024;12:00;125
Бенякони;25.04.2024;14:00;120
Бенякони;25.04.2024;16:00;120
Бенякони;25.04.2024;18:00;120
Бенякони;25.04.2024;20:00;130
Бенякони;25.04.2024;22:00;140
Григоровщина;25.04.2024;00:00;20
Григоровщина;25.04.2024;02:00;20
Григоровщина;25.04.2024;04:00;20
Григоровщина;25.04.2024;06:00;0
Григоровщина;25.04.2024;08:00;0
Григоровщина;25.04.2024;10:00;0
Григоровщина;25.04.2024;12:00;0
Григоровщина;25.04.2024;14:00;0
Григоровщина;25.04.2024;16:00;20
Григоровщина;25.04.2024;18:00;20
Григоровщина;25.04.2024;20:00;20
Григоровщина;25.04.2024;22:00;25
