Погран. переход;Дата;Время;Очередь на выезд
Брест;10.03.2024;00:00;0
Брест;10.03.2024;02:00;0
Брест;10.03.2024;04:00;0
Брест;10.03.2024;06:00;0
Брест;10.03.2024;08:00;20
Брест;10.03.2024;10:00;10
Брест;10.03.2024;12:00;80
Брест;10.03.2024;14:00;20
Брест;10.03.2024;16:00;190
Брест;10.03.2024;18:00;250
Брест;10.03.2024;20:00;300
Брест;10.03.2024;22:00;300
Каменный лог;10.03.2024;00:00;0
Каменный лог;10.03.2024;02:00;0
Каменный лог;10.03.2024;04:00;0
Каменный лог;10.03.2024;06:00;0
Каменный лог;10.03.2024;08:00;0
Каменный лог;10.03.2024;10:00;0
Каменный лог;10.03.2024;12:00;0
Каменный лог;10.03.2024;14:00;0
Каменный лог;10.03.2024;16:00;0
Каменный лог;10.03.2024;18:00;10
Каменный лог;10.03.2024;20:00;20
Каменный лог;10.03.2024;22:00;30
Бенякони;10.03.2024;00:00;10
Бенякони;10.03.2024;02:00;0
Бенякони;10.03.2024;04:00;0
Бенякони;10.03.2024;06:00;0
Бенякони;10.03.2024;08:00;10
Бенякони;10.03.2024;10:00;40
Бенякони;10.03.2024;12:00;60
Бенякони;10.03.2024;14:00;60
Бенякони;10.03.2024;16:00;50
Бенякони;10.03.2024;18:00;50
Бенякони;10.03.2024;20:00;10
Бенякони;10.03.2024;22:00;0
Григоровщина;10.03.2024;00:00;0
Григоровщина;10.03.2024;02:00;0
Григоровщина;10.03.2024;04:00;0
Григоровщина;10.03.2024;06:00;0
Григоровщина;10.03.2024;08:00;0
Григоровщина;10.03.2024;10:00;0
Григоровщина;10.03.2024;12:00;0
Григоровщина;10.03.2024;14:00;0
Григоровщина;10.03.2024;16:00;0
Григоровщина;10.03.2024;18:00;0
Григоровщина;10.03.2024;20:00;0
Григоровщина;10.03.2024;22:00;0
