Погран. переход;Дата;Время;Очередь на выезд
Брест;21.03.2024;00:00;200
Брест;21.03.2024;02:00;200
Брест;21.03.2024;04:00;200
Брест;21.03.2024;06:00;200
Брест;21.03.2024;08:00;200
Брест;21.03.2024;10:00;170
Брест;21.03.2024;12:00;180
Брест;21.03.2024;14:00;200
Брест;21.03.2024;16:00;240
Брест;21.03.2024;18:00;240
Брест;21.03.2024;20:00;240
Брест;21.03.2024;22:00;250
Каменный лог;21.03.2024;00:00;140
Каменный лог;21.03.2024;02:00;140
Каменный лог;21.03.2024;04:00;120
Каменный лог;21.03.2024;06:00;90
Каменный лог;21.03.2024;08:00;70
Каменный лог;21.03.2024;10:00;50
Каменный лог;21.03.2024;12:00;70
Каменный лог;21.03.2024;14:00;50
Каменный лог;21.03.2024;16:00;50
Каменный лог;21.03.2024;18:00;30
Каменный лог;21.03.2024;20:00;0
Каменный лог;21.03.2024;22:00;0
Бенякони;21.03.2024;00:00;90
Бенякони;21.03.2024;02:00;90
Бенякони;21.03.2024;04:00;80
Бенякони;21.03.2024;06:00;70
Бенякони;21.03.2024;08:00;80
Бенякони;21.03.2024;10:00;60
Бенякони;21.03.2024;12:00;80
Бенякони;21.03.2024;14:00;100
Бенякони;21.03.2024;16:00;100
Бенякони;21.03.2024;18:00;100
Бенякони;21.03.2024;20:00;100
Бенякони;21.03.2024;22:00;100
Григоровщина;21.03.2024;00:00;0
Григоровщина;21.03.2024;02:00;0
Григоровщина;21.03.2024;04:00;0
Григоровщина;21.03.2024;06:00;0
Григоровщина;21.03.2024;08:00;0
Григоровщина;21.03.2024;10:00;10
Григоровщина;21.03.2024;12:00;15
Григоровщина;21.03.2024;14:00;15
Григоровщина;21.03.2024;16:00;30
Григоровщина;21.03.2024;18:00;40
Григоровщина;21.03.2024;20:00;40
Григоровщина;21.03.2024;22:00;40
