Погран. переход;Дата;Время;Очередь на выезд
Брест;28.01.2024;00:00;0
Брест;28.01.2024;02:00;0
Брест;28.01.2024;04:00;0
Брест;28.01.2024;06:00;0
Брест;28.01.2024;08:00;0
Брест;28.01.2024;10:00;0
Брест;28.01.2024;12:00;0
Брест;28.01.2024;14:00;0
Брест;28.01.2024;16:00;0
Брест;28.01.2024;18:00;0
Брест;28.01.2024;20:00;0
Брест;28.01.2024;22:00;0
Каменный лог;28.01.2024;00:00;0
Каменный лог;28.01.2024;02:00;0
Каменный лог;28.01.2024;04:00;0
Каменный лог;28.01.2024;06:00;0
Каменный лог;28.01.2024;08:00;0
Каменный лог;28.01.2024;10:00;20
Каменный лог;28.01.2024;12:00;30
Каменный лог;28.01.2024;14:00;30
Каменный лог;28.01.2024;16:00;30
Каменный лог;28.01.2024;18:00;50
Каменный лог;28.01.2024;20:00;60
Каменный лог;28.01.2024;22:00;50
Бенякони;28.01.2024;00:00;0
Бенякони;28.01.2024;02:00;0
Бенякони;28.01.2024;04:00;0
Бенякони;28.01.2024;06:00;0
Бенякони;28.01.2024;08:00;0
Бенякони;28.01.2024;10:00;0
Бенякони;28.01.2024;12:00;0
Бенякони;28.01.2024;14:00;0
Бенякони;28.01.2024;16:00;10
Бенякони;28.01.2024;18:00;20
Бенякони;28.01.2024;20:00;25
Бенякони;28.01.2024;22:00;40
Григоровщина;28.01.2024;00:00;0
Григоровщина;28.01.2024;02:00;0
Григоровщина;28.01.2024;04:00;0
Григоровщина;28.01.2024;06:00;0
Григоровщина;28.01.2024;08:00;0
Григоровщина;28.01.2024;10:00;0
Григоровщина;28.01.2024;12:00;0
Григоровщина;28.01.2024;14:00;0
Григоровщина;28.01.2024;16:00;0
Григоровщина;28.01.2024;18:00;0
Григоровщина;28.01.2024;20:00;0
Григоровщина;28.01.2024;22:00;0
