Погран. переход;Дата;Время;Очередь на выезд
Брест;17.04.2024;00:00;100
Брест;17.04.2024;02:00;60
Брест;17.04.2024;04:00;60
Брест;17.04.2024;06:00;40
Брест;17.04.2024;08:00;75
Брест;17.04.2024;10:00;100
Брест;17.04.2024;12:00;170
Брест;17.04.2024;14:00;240
Брест;17.04.2024;16:00;250
Брест;17.04.2024;18:00;230
Брест;17.04.2024;20:00;280
Брест;17.04.2024;22:00;250
Каменный лог;17.04.2024;00:00;100
Каменный лог;17.04.2024;02:00;120
Каменный лог;17.04.2024;04:00;120
Каменный лог;17.04.2024;06:00;120
Каменный лог;17.04.2024;08:00;120
Каменный лог;17.04.2024;10:00;120
Каменный лог;17.04.2024;12:00;115
Каменный лог;17.04.2024;14:00;120
Каменный лог;17.04.2024;16:00;120
Каменный лог;17.04.2024;18:00;100
Каменный лог;17.04.2024;20:00;110
Каменный лог;17.04.2024;22:00;140
Бенякони;17.04.2024;00:00;95
Бенякони;17.04.2024;02:00;95
Бенякони;17.04.2024;04:00;95
Бенякони;17.04.2024;06:00;95
Бенякони;17.04.2024;08:00;100
Бенякони;17.04.2024;10:00;90
Бенякони;17.04.2024;12:00;110
Бенякони;17.04.2024;14:00;125
Бенякони;17.04.2024;16:00;125
Бенякони;17.04.2024;18:00;150
Бенякони;17.04.2024;20:00;95
Бенякони;17.04.2024;22:00;150
Григоровщина;17.04.2024;00:00;0
Григоровщина;17.04.2024;02:00;0
Григоровщина;17.04.2024;04:00;0
Григоровщина;17.04.2024;06:00;0
Григоровщина;17.04.2024;08:00;0
Григоровщина;17.04.2024;10:00;0
Григоровщина;17.04.2024;12:00;0
Григоровщина;17.04.2024;14:00;0
Григоровщина;17.04.2024;16:00;15
Григоровщина;17.04.2024;18:00;30
Григоровщина;17.04.2024;20:00;60
Григоровщина;17.04.2024;22:00;70
