Погран. переход;Дата;Время;Очередь на выезд
Брест;04.04.2024;00:00;400
Брест;04.04.2024;02:00;400
Брест;04.04.2024;04:00;415
Брест;04.04.2024;06:00;280
Брест;04.04.2024;08:00;235
Брест;04.04.2024;10:00;250
Брест;04.04.2024;12:00;250
Брест;04.04.2024;14:00;250
Брест;04.04.2024;16:00;250
Брест;04.04.2024;18:00;250
Брест;04.04.2024;20:00;250
Брест;04.04.2024;22:00;300
Каменный лог;04.04.2024;00:00;200
Каменный лог;04.04.2024;02:00;200
Каменный лог;04.04.2024;04:00;230
Каменный лог;04.04.2024;06:00;230
Каменный лог;04.04.2024;08:00;230
Каменный лог;04.04.2024;10:00;230
Каменный лог;04.04.2024;12:00;215
Каменный лог;04.04.2024;14:00;190
Каменный лог;04.04.2024;16:00;200
Каменный лог;04.04.2024;18:00;185
Каменный лог;04.04.2024;20:00;190
Каменный лог;04.04.2024;22:00;200
Бенякони;04.04.2024;00:00;90
Бенякони;04.04.2024;02:00;90
Бенякони;04.04.2024;04:00;110
Бенякони;04.04.2024;06:00;130
Бенякони;04.04.2024;08:00;130
Бенякони;04.04.2024;10:00;130
Бенякони;04.04.2024;12:00;150
Бенякони;04.04.2024;14:00;150
Бенякони;04.04.2024;16:00;160
Бенякони;04.04.2024;18:00;180
Бенякони;04.04.2024;20:00;190
Бенякони;04.04.2024;22:00;190
Григоровщина;04.04.2024;00:00;50
Григоровщина;04.04.2024;02:00;50
Григоровщина;04.04.2024;04:00;40
Григоровщина;04.04.2024;06:00;30
Григоровщина;04.04.2024;08:00;20
Григоровщина;04.04.2024;10:00;40
Григоровщина;04.04.2024;12:00;30
Григоровщина;04.04.2024;14:00;50
Григоровщина;04.04.2024;16:00;65
Григоровщина;04.04.2024;18:00;80
Григоровщина;04.04.2024;20:00;85
Григоровщина;04.04.2024;22:00;85
