Погран. переход;Дата;Время;Очередь на выезд
Брест;01.03.2024;00:00;200
Брест;01.03.2024;02:00;170
Брест;01.03.2024;04:00;170
Брест;01.03.2024;06:00;180
Брест;01.03.2024;08:00;120
Брест;01.03.2024;10:00;135
Брест;01.03.2024;12:00;140
Брест;01.03.2024;14:00;160
Брест;01.03.2024;16:00;160
Брест;01.03.2024;18:00;250
Брест;01.03.2024;20:00;280
Брест;01.03.2024;22:00;280
Каменный лог;01.03.2024;00:00;140
Каменный лог;01.03.2024;02:00;140
Каменный лог;01.03.2024;04:00;150
Каменный лог;01.03.2024;06:00;110
Каменный лог;01.03.2024;08:00;100
Каменный лог;01.03.2024;10:00;90
Каменный лог;01.03.2024;12:00;45
Каменный лог;01.03.2024;14:00;20
Каменный лог;01.03.2024;16:00;15
Каменный лог;01.03.2024;18:00;20
Каменный лог;01.03.2024;20:00;30
Каменный лог;01.03.2024;22:00;50
Бенякони;01.03.2024;00:00;130
Бенякони;01.03.2024;02:00;150
Бенякони;01.03.2024;04:00;150
Бенякони;01.03.2024;06:00;160
Бенякони;01.03.2024;08:00;100
Бенякони;01.03.2024;10:00;70
Бенякони;01.03.2024;12:00;65
Бенякони;01.03.2024;14:00;50
Бенякони;01.03.2024;16:00;50
Бенякони;01.03.2024;18:00;65
Бенякони;01.03.2024;20:00;60
Бенякони;01.03.2024;22:00;60
Григоровщина;01.03.2024;00:00;65
Григоровщина;01.03.2024;02:00;65
Григоровщина;01.03.2024;04:00;65
Григоровщина;01.03.2024;06:00;15
Григоровщина;01.03.2024;08:00;0
Григоровщина;01.03.2024;10:00;0
Григоровщина;01.03.2024;12:00;0
Григоровщина;01.03.2024;14:00;0
Григоровщина;01.03.2024;16:00;0
Григоровщина;01.03.2024;18:00;0
Григоровщина;01.03.2024;20:00;0
Григоровщина;01.03.2024;22:00;0
