Погран. переход;Дата;Время;Очередь на выезд
Брест;26.04.2024;00:00;300
Брест;26.04.2024;02:00;250
Брест;26.04.2024;04:00;250
Брест;26.04.2024;06:00;150
Брест;26.04.2024;08:00;85
Брест;26.04.2024;10:00;80
Брест;26.04.2024;12:00;50
Брест;26.04.2024;14:00;20
Брест;26.04.2024;16:00;0
Брест;26.04.2024;18:00;55
Брест;26.04.2024;20:00;70
Брест;26.04.2024;22:00;60
Каменный лог;26.04.2024;00:00;100
Каменный лог;26.04.2024;02:00;100
Каменный лог;26.04.2024;04:00;80
Каменный лог;26.04.2024;06:00;70
Каменный лог;26.04.2024;08:00;70
Каменный лог;26.04.2024;10:00;80
Каменный лог;26.04.2024;12:00;70
Каменный лог;26.04.2024;14:00;50
Каменный лог;26.04.2024;16:00;40
Каменный лог;26.04.2024;18:00;40
Каменный лог;26.04.2024;20:00;40
Каменный лог;26.04.2024;22:00;50
Бенякони;26.04.2024;00:00;150
Бенякони;26.04.2024;02:00;160
Бенякони;26.04.2024;04:00;40
Бенякони;26.04.2024;06:00;50
Бенякони;26.04.2024;08:00;40
Бенякони;26.04.2024;10:00;10
Бенякони;26.04.2024;12:00;25
Бенякони;26.04.2024;14:00;40
Бенякони;26.04.2024;16:00;65
Бенякони;26.04.2024;18:00;80
Бенякони;26.04.2024;20:00;65
Бенякони;26.04.2024;22:00;60
Григоровщина;26.04.2024;00:00;10
Григоровщина;26.04.2024;02:00;0
Григоровщина;26.04.2024;04:00;0
Григоровщина;26.04.2024;06:00;0
Григоровщина;26.04.2024;08:00;0
Григоровщина;26.04.2024;10:00;0
Григоровщина;26.04.2024;12:00;0
Григоровщина;26.04.2024;14:00;0
Григоровщина;26.04.2024;16:00;0
Григоровщина;26.04.2024;18:00;0
Григоровщина;26.04.2024;20:00;0
Григоровщина;26.04.2024;22:00;0
