Погран. переход;Дата;Время;Очередь на выезд
Брест;05.01.2024;00:00;200
Брест;05.01.2024;02:00;200
Брест;05.01.2024;04:00;210
Брест;05.01.2024;06:00;200
Брест;05.01.2024;08:00;270
Брест;05.01.2024;10:00;220
Брест;05.01.2024;12:00;220
Брест;05.01.2024;14:00;220
Брест;05.01.2024;16:00;220
Брест;05.01.2024;18:00;220
Брест;05.01.2024;20:00;220
Брест;05.01.2024;21:00;220
Брест;05.01.2024;22:00;250
Каменный лог;05.01.2024;00:00;140
Каменный лог;05.01.2024;02:00;140
Каменный лог;05.01.2024;04:00;130
Каменный лог;05.01.2024;06:00;120
Каменный лог;05.01.2024;08:00;115
Каменный лог;05.01.2024;10:00;110
Каменный лог;05.01.2024;12:00;100
Каменный лог;05.01.2024;14:00;105
Каменный лог;05.01.2024;16:00;100
Каменный лог;05.01.2024;18:00;95
Каменный лог;05.01.2024;20:00;95
Каменный лог;05.01.2024;21:00;90
Каменный лог;05.01.2024;22:00;80
Бенякони;05.01.2024;00:00;180
Бенякони;05.01.2024;02:00;160
Бенякони;05.01.2024;04:00;160
Бенякони;05.01.2024;06:00;160
Бенякони;05.01.2024;08:00;180
Бенякони;05.01.2024;10:00;90
Бенякони;05.01.2024;12:00;85
Бенякони;05.01.2024;14:00;85
Бенякони;05.01.2024;16:00;70
Бенякони;05.01.2024;18:00;80
Бенякони;05.01.2024;20:00;80
Бенякони;05.01.2024;21:00;70
Бенякони;05.01.2024;22:00;80
Григоровщина;05.01.2024;00:00;55
Григоровщина;05.01.2024;02:00;55
Григоровщина;05.01.2024;04:00;30
Григоровщина;05.01.2024;06:00;20
Григоровщина;05.01.2024;08:00;20
Григоровщина;05.01.2024;10:00;0
Григоровщина;05.01.2024;12:00;0
Григоровщина;05.01.2024;14:00;0
Григоровщина;05.01.2024;16:00;10
Григоровщина;05.01.2024;18:00;25
Григоровщина;05.01.2024;20:00;25
Григоровщина;05.01.2024;21:00;35
Григоровщина;05.01.2024;22:00;25
