Погран. переход;Дата;Время;Очередь на выезд
Брест;14.01.2024;00:00;0
Брест;14.01.2024;02:00;0
Брест;14.01.2024;04:00;0
Брест;14.01.2024;06:00;0
Брест;14.01.2024;08:00;0
Брест;14.01.2024;10:00;0
Брест;14.01.2024;12:00;0
Брест;14.01.2024;14:00;70
Брест;14.01.2024;16:00;110
Брест;14.01.2024;18:00;130
Брест;14.01.2024;20:00;200
Брест;14.01.2024;22:00;280
Каменный лог;14.01.2024;00:00;0
Каменный лог;14.01.2024;02:00;0
Каменный лог;14.01.2024;04:00;0
Каменный лог;14.01.2024;06:00;0
Каменный лог;14.01.2024;08:00;0
Каменный лог;14.01.2024;10:00;0
Каменный лог;14.01.2024;12:00;0
Каменный лог;14.01.2024;14:00;0
Каменный лог;14.01.2024;16:00;0
Каменный лог;14.01.2024;18:00;20
Каменный лог;14.01.2024;20:00;20
Каменный лог;14.01.2024;22:00;0
Бенякони;14.01.2024;00:00;0
Бенякони;14.01.2024;02:00;0
Бенякони;14.01.2024;04:00;0
Бенякони;14.01.2024;06:00;0
Бенякони;14.01.2024;08:00;0
Бенякони;14.01.2024;10:00;0
Бенякони;14.01.2024;12:00;0
Бенякони;14.01.2024;14:00;0
Бенякони;14.01.2024;16:00;0
Бенякони;14.01.2024;18:00;0
Бенякони;14.01.2024;20:00;0
Бенякони;14.01.2024;22:00;0
Григоровщина;14.01.2024;00:00;0
Григоровщина;14.01.2024;02:00;0
Григоровщина;14.01.2024;04:00;0
Григоровщина;14.01.2024;06:00;0
Григоровщина;14.01.2024;08:00;0
Григоровщина;14.01.2024;10:00;0
Григоровщина;14.01.2024;12:00;0
Григоровщина;14.01.2024;14:00;0
Григоровщина;14.01.2024;16:00;0
Григоровщина;14.01.2024;18:00;0
Григоровщина;14.01.2024;20:00;0
Григоровщина;14.01.2024;22:00;0
