Погран. переход;Дата;Время;Очередь на выезд
Брест;01.04.2024;00:00;100
Брест;01.04.2024;02:00;150
Брест;01.04.2024;04:00;100
Брест;01.04.2024;06:00;100
Брест;01.04.2024;08:00;120
Брест;01.04.2024;10:00;140
Брест;01.04.2024;12:00;200
Брест;01.04.2024;14:00;250
Брест;01.04.2024;16:00;250
Брест;01.04.2024;18:00;300
Брест;01.04.2024;20:00;320
Брест;01.04.2024;22:00;320
Каменный лог;01.04.2024;00:00;0
Каменный лог;01.04.2024;02:00;0
Каменный лог;01.04.2024;04:00;0
Каменный лог;01.04.2024;06:00;0
Каменный лог;01.04.2024;08:00;0
Каменный лог;01.04.2024;10:00;0
Каменный лог;01.04.2024;12:00;10
Каменный лог;01.04.2024;14:00;40
Каменный лог;01.04.2024;16:00;50
Каменный лог;01.04.2024;18:00;70
Каменный лог;01.04.2024;20:00;70
Каменный лог;01.04.2024;22:00;60
Бенякони;01.04.2024;00:00;0
Бенякони;01.04.2024;02:00;0
Бенякони;01.04.2024;04:00;0
Бенякони;01.04.2024;06:00;0
Бенякони;01.04.2024;08:00;0
Бенякони;01.04.2024;10:00;0
Бенякони;01.04.2024;12:00;0
Бенякони;01.04.2024;14:00;20
Бенякони;01.04.2024;16:00;70
Бенякони;01.04.2024;18:00;70
Бенякони;01.04.2024;20:00;90
Бенякони;01.04.2024;22:00;100
Григоровщина;01.04.2024;00:00;0
Григоровщина;01.04.2024;02:00;0
Григоровщина;01.04.2024;04:00;0
Григоровщина;01.04.2024;06:00;0
Григоровщина;01.04.2024;08:00;0
Григоровщина;01.04.2024;10:00;0
Григоровщина;01.04.2024;12:00;0
Григоровщина;01.04.2024;14:00;0
Григоровщина;01.04.2024;16:00;0
Григоровщина;01.04.2024;18:00;0
Григоровщина;01.04.2024;20:00;0
Григоровщина;01.04.2024;22:00;0
