Погран. переход;Дата;Время;Очередь на выезд
Брест;06.02.2024;00:00;90
Брест;06.02.2024;02:00;90
Брест;06.02.2024;04:00;160
Брест;06.02.2024;06:00;150
Брест;06.02.2024;08:00;110
Брест;06.02.2024;10:00;110
Брест;06.02.2024;12:00;110
Брест;06.02.2024;14:00;110
Брест;06.02.2024;16:00;130
Брест;06.02.2024;18:00;130
Брест;06.02.2024;20:00;135
Брест;06.02.2024;22:00;150
Каменный лог;06.02.2024;00:00;10
Каменный лог;06.02.2024;02:00;10
Каменный лог;06.02.2024;04:00;0
Каменный лог;06.02.2024;06:00;0
Каменный лог;06.02.2024;08:00;0
Каменный лог;06.02.2024;10:00;0
Каменный лог;06.02.2024;12:00;10
Каменный лог;06.02.2024;14:00;0
Каменный лог;06.02.2024;16:00;0
Каменный лог;06.02.2024;18:00;0
Каменный лог;06.02.2024;20:00;0
Каменный лог;06.02.2024;22:00;0
Бенякони;06.02.2024;00:00;60
Бенякони;06.02.2024;02:00;40
Бенякони;06.02.2024;04:00;30
Бенякони;06.02.2024;06:00;10
Бенякони;06.02.2024;08:00;0
Бенякони;06.02.2024;10:00;0
Бенякони;06.02.2024;12:00;0
Бенякони;06.02.2024;14:00;10
Бенякони;06.02.2024;16:00;10
Бенякони;06.02.2024;18:00;0
Бенякони;06.02.2024;20:00;0
Бенякони;06.02.2024;22:00;0
Григоровщина;06.02.2024;00:00;0
Григоровщина;06.02.2024;02:00;0
Григоровщина;06.02.2024;04:00;0
Григоровщина;06.02.2024;06:00;0
Григоровщина;06.02.2024;08:00;0
Григоровщина;06.02.2024;10:00;0
Григоровщина;06.02.2024;12:00;0
Григоровщина;06.02.2024;14:00;0
Григоровщина;06.02.2024;16:00;0
Григоровщина;06.02.2024;18:00;0
Григоровщина;06.02.2024;20:00;0
Григоровщина;06.02.2024;22:00;0
