Погран. переход;Дата;Время;Очередь на выезд
Брест;23.01.2024;00:00;30
Брест;23.01.2024;02:00;95
Брест;23.01.2024;04:00;80
Брест;23.01.2024;06:00;100
Брест;23.01.2024;08:00;80
Брест;23.01.2024;10:00;90
Брест;23.01.2024;12:00;75
Брест;23.01.2024;14:00;20
Брест;23.01.2024;16:00;30
Брест;23.01.2024;18:00;20
Брест;23.01.2024;20:00;10
Брест;23.01.2024;22:00;0
Каменный лог;23.01.2024;00:00;0
Каменный лог;23.01.2024;02:00;0
Каменный лог;23.01.2024;04:00;0
Каменный лог;23.01.2024;06:00;0
Каменный лог;23.01.2024;08:00;10
Каменный лог;23.01.2024;10:00;20
Каменный лог;23.01.2024;12:00;20
Каменный лог;23.01.2024;14:00;20
Каменный лог;23.01.2024;16:00;20
Каменный лог;23.01.2024;18:00;0
Каменный лог;23.01.2024;20:00;0
Каменный лог;23.01.2024;22:00;10
Бенякони;23.01.2024;00:00;0
Бенякони;23.01.2024;02:00;0
Бенякони;23.01.2024;04:00;0
Бенякони;23.01.2024;06:00;0
Бенякони;23.01.2024;08:00;0
Бенякони;23.01.2024;10:00;0
Бенякони;23.01.2024;12:00;0
Бенякони;23.01.2024;14:00;0
Бенякони;23.01.2024;16:00;0
Бенякони;23.01.2024;18:00;0
Бенякони;23.01.2024;20:00;0
Бенякони;23.01.2024;22:00;0
Григоровщина;23.01.2024;00:00;0
Григоровщина;23.01.2024;02:00;0
Григоровщина;23.01.2024;04:00;0
Григоровщина;23.01.2024;06:00;0
Григоровщина;23.01.2024;08:00;0
Григоровщина;23.01.2024;10:00;0
Григоровщина;23.01.2024;12:00;0
Григоровщина;23.01.2024;14:00;0
Григоровщина;23.01.2024;16:00;0
Григоровщина;23.01.2024;18:00;0
Григоровщина;23.01.2024;20:00;0
Григоровщина;23.01.2024;22:00;0
