Погран. переход;Дата;Время;Очередь на выезд
Брест;29.01.2024;00:00;0
Брест;29.01.2024;02:00;0
Брест;29.01.2024;04:00;0
Брест;29.01.2024;06:00;0
Брест;29.01.2024;08:00;0
Брест;29.01.2024;10:00;20
Брест;29.01.2024;12:00;55
Брест;29.01.2024;14:00;50
Брест;29.01.2024;16:00;20
Брест;29.01.2024;18:00;20
Брест;29.01.2024;20:00;0
Брест;29.01.2024;22:00;20
Каменный лог;29.01.2024;00:00;30
Каменный лог;29.01.2024;02:00;10
Каменный лог;29.01.2024;04:00;10
Каменный лог;29.01.2024;06:00;0
Каменный лог;29.01.2024;08:00;0
Каменный лог;29.01.2024;10:00;0
Каменный лог;29.01.2024;12:00;0
Каменный лог;29.01.2024;14:00;10
Каменный лог;29.01.2024;16:00;10
Каменный лог;29.01.2024;18:00;10
Каменный лог;29.01.2024;20:00;0
Каменный лог;29.01.2024;22:00;0
Бенякони;29.01.2024;00:00;20
Бенякони;29.01.2024;02:00;0
Бенякони;29.01.2024;04:00;0
Бенякони;29.01.2024;06:00;0
Бенякони;29.01.2024;08:00;0
Бенякони;29.01.2024;10:00;0
Бенякони;29.01.2024;12:00;0
Бенякони;29.01.2024;14:00;0
Бенякони;29.01.2024;16:00;0
Бенякони;29.01.2024;18:00;0
Бенякони;29.01.2024;20:00;0
Бенякони;29.01.2024;22:00;0
Григоровщина;29.01.2024;00:00;0
Григоровщина;29.01.2024;02:00;0
Григоровщина;29.01.2024;04:00;0
Григоровщина;29.01.2024;06:00;0
Григоровщина;29.01.2024;08:00;0
Григоровщина;29.01.2024;10:00;0
Григоровщина;29.01.2024;12:00;0
Григоровщина;29.01.2024;14:00;0
Григоровщина;29.01.2024;16:00;0
Григоровщина;29.01.2024;18:00;0
Григоровщина;29.01.2024;20:00;0
Григоровщина;29.01.2024;22:00;0
