Погран. переход;Дата;Время;Очередь на выезд
Брест;08.01.2024;00:00;70
Брест;08.01.2024;02:00;60
Брест;08.01.2024;04:00;50
Брест;08.01.2024;06:00;10
Брест;08.01.2024;08:00;10
Брест;08.01.2024;10:00;20
Брест;08.01.2024;12:00;25
Брест;08.01.2024;14:00;20
Брест;08.01.2024;16:00;0
Брест;08.01.2024;18:00;0
Брест;08.01.2024;20:00;0
Брест;08.01.2024;22:00;0
Каменный лог;08.01.2024;00:00;0
Каменный лог;08.01.2024;02:00;0
Каменный лог;08.01.2024;04:00;0
Каменный лог;08.01.2024;06:00;0
Каменный лог;08.01.2024;08:00;0
Каменный лог;08.01.2024;10:00;0
Каменный лог;08.01.2024;12:00;0
Каменный лог;08.01.2024;14:00;0
Каменный лог;08.01.2024;16:00;0
Каменный лог;08.01.2024;18:00;0
Каменный лог;08.01.2024;20:00;0
Каменный лог;08.01.2024;22:00;0
Бенякони;08.01.2024;00:00;15
Бенякони;08.01.2024;02:00;0
Бенякони;08.01.2024;04:00;5
Бенякони;08.01.2024;06:00;0
Бенякони;08.01.2024;08:00;10
Бенякони;08.01.2024;10:00;10
Бенякони;08.01.2024;12:00;0
Бенякони;08.01.2024;14:00;0
Бенякони;08.01.2024;16:00;0
Бенякони;08.01.2024;18:00;15
Бенякони;08.01.2024;20:00;25
Бенякони;08.01.2024;22:00;30
Григоровщина;08.01.2024;00:00;0
Григоровщина;08.01.2024;02:00;0
Григоровщина;08.01.2024;04:00;0
Григоровщина;08.01.2024;06:00;0
Григоровщина;08.01.2024;08:00;0
Григоровщина;08.01.2024;10:00;0
Григоровщина;08.01.2024;12:00;0
Григоровщина;08.01.2024;14:00;0
Григоровщина;08.01.2024;16:00;0
Григоровщина;08.01.2024;18:00;0
Григоровщина;08.01.2024;20:00;0
Григоровщина;08.01.2024;22:00;0
