Погран. переход;Дата;Время;Очередь на выезд
Брест;01.02.2024;00:00;40
Брест;01.02.2024;02:00;70
Брест;01.02.2024;04:00;70
Брест;01.02.2024;06:00;70
Брест;01.02.2024;08:00;60
Брест;01.02.2024;10:00;50
Брест;01.02.2024;12:00;50
Брест;01.02.2024;14:00;60
Брест;01.02.2024;16:00;0
Брест;01.02.2024;18:00;0
Брест;01.02.2024;20:00;50
Брест;01.02.2024;22:00;100
Каменный лог;01.02.2024;00:00;30
Каменный лог;01.02.2024;02:00;30
Каменный лог;01.02.2024;04:00;50
Каменный лог;01.02.2024;06:00;35
Каменный лог;01.02.2024;08:00;30
Каменный лог;01.02.2024;10:00;50
Каменный лог;01.02.2024;12:00;50
Каменный лог;01.02.2024;14:00;70
Каменный лог;01.02.2024;16:00;80
Каменный лог;01.02.2024;18:00;70
Каменный лог;01.02.2024;20:00;70
Каменный лог;01.02.2024;22:00;70
Бенякони;01.02.2024;00:00;50
Бенякони;01.02.2024;02:00;65
Бенякони;01.02.2024;04:00;55
Бенякони;01.02.2024;06:00;35
Бенякони;01.02.2024;08:00;30
Бенякони;01.02.2024;10:00;35
Бенякони;01.02.2024;12:00;40
Бенякони;01.02.2024;14:00;65
Бенякони;01.02.2024;16:00;90
Бенякони;01.02.2024;18:00;60
Бенякони;01.02.2024;20:00;40
Бенякони;01.02.2024;22:00;50
Григоровщина;01.02.2024;00:00;0
Григоровщина;01.02.2024;02:00;0
Григоровщина;01.02.2024;04:00;0
Григоровщина;01.02.2024;06:00;0
Григоровщина;01.02.2024;08:00;0
Григоровщина;01.02.2024;10:00;0
Григоровщина;01.02.2024;12:00;0
Григоровщина;01.02.2024;14:00;0
Григоровщина;01.02.2024;16:00;0
Григоровщина;01.02.2024;18:00;0
Григоровщина;01.02.2024;20:00;0
Григоровщина;01.02.2024;22:00;0
