Погран. переход;Дата;Время;Очередь на выезд
Брест;18.04.2024;00:00;250
Брест;18.04.2024;02:00;250
Брест;18.04.2024;04:00;250
Брест;18.04.2024;06:00;250
Брест;18.04.2024;08:00;160
Брест;18.04.2024;10:00;160
Брест;18.04.2024;12:00;220
Брест;18.04.2024;14:00;220
Брест;18.04.2024;16:00;220
Брест;18.04.2024;18:00;320
Брест;18.04.2024;20:00;320
Брест;18.04.2024;22:00;320
Каменный лог;18.04.2024;00:00;170
Каменный лог;18.04.2024;02:00;170
Каменный лог;18.04.2024;04:00;190
Каменный лог;18.04.2024;06:00;200
Каменный лог;18.04.2024;08:00;200
Каменный лог;18.04.2024;10:00;200
Каменный лог;18.04.2024;12:00;195
Каменный лог;18.04.2024;14:00;195
Каменный лог;18.04.2024;16:00;185
Каменный лог;18.04.2024;18:00;145
Каменный лог;18.04.2024;20:00;130
Каменный лог;18.04.2024;22:00;130
Бенякони;18.04.2024;00:00;160
Бенякони;18.04.2024;02:00;160
Бенякони;18.04.2024;04:00;160
Бенякони;18.04.2024;06:00;140
Бенякони;18.04.2024;08:00;140
Бенякони;18.04.2024;10:00;110
Бенякони;18.04.2024;12:00;150
Бенякони;18.04.2024;14:00;150
Бенякони;18.04.2024;16:00;180
Бенякони;18.04.2024;18:00;180
Бенякони;18.04.2024;20:00;170
Бенякони;18.04.2024;22:00;170
Григоровщина;18.04.2024;00:00;70
Григоровщина;18.04.2024;02:00;70
Григоровщина;18.04.2024;04:00;60
Григоровщина;18.04.2024;06:00;60
Григоровщина;18.04.2024;08:00;40
Григоровщина;18.04.2024;10:00;50
Григоровщина;18.04.2024;12:00;50
Григоровщина;18.04.2024;14:00;80
Григоровщина;18.04.2024;16:00;110
Григоровщина;18.04.2024;18:00;130
Григоровщина;18.04.2024;20:00;130
Григоровщина;18.04.2024;22:00;130
