Погран. переход;Дата;Время;Очередь на выезд
Брест;19.04.2024;00:00;320
Брест;19.04.2024;02:00;320
Брест;19.04.2024;04:00;320
Брест;19.04.2024;06:00;320
Брест;19.04.2024;08:00;240
Брест;19.04.2024;10:00;200
Брест;19.04.2024;12:00;200
Брест;19.04.2024;14:00;250
Брест;19.04.2024;16:00;250
Брест;19.04.2024;18:00;250
Брест;19.04.2024;20:00;250
Брест;19.04.2024;22:00;200
Каменный лог;19.04.2024;00:00;120
Каменный лог;19.04.2024;02:00;110
Каменный лог;19.04.2024;04:00;100
Каменный лог;19.04.2024;06:00;100
Каменный лог;19.04.2024;08:00;80
Каменный лог;19.04.2024;10:00;70
Каменный лог;19.04.2024;12:00;70
Каменный лог;19.04.2024;14:00;60
Каменный лог;19.04.2024;16:00;50
Каменный лог;19.04.2024;18:00;70
Каменный лог;19.04.2024;20:00;80
Каменный лог;19.04.2024;22:00;70
Бенякони;19.04.2024;00:00;170
Бенякони;19.04.2024;02:00;160
Бенякони;19.04.2024;04:00;160
Бенякони;19.04.2024;06:00;150
Бенякони;19.04.2024;08:00;120
Бенякони;19.04.2024;10:00;120
Бенякони;19.04.2024;12:00;110
Бенякони;19.04.2024;14:00;90
Бенякони;19.04.2024;16:00;100
Бенякони;19.04.2024;18:00;80
Бенякони;19.04.2024;20:00;60
Бенякони;19.04.2024;22:00;50
Григоровщина;19.04.2024;00:00;120
Григоровщина;19.04.2024;02:00;100
Григоровщина;19.04.2024;04:00;100
Григоровщина;19.04.2024;06:00;75
Григоровщина;19.04.2024;08:00;55
Григоровщина;19.04.2024;10:00;55
Григоровщина;19.04.2024;12:00;55
Григоровщина;19.04.2024;14:00;55
Григоровщина;19.04.2024;16:00;30
Григоровщина;19.04.2024;18:00;40
Григоровщина;19.04.2024;20:00;20
Григоровщина;19.04.2024;22:00;20
