Погран. переход;Дата;Время;Очередь на выезд
Брест;13.03.2024;00:00;200
Брест;13.03.2024;02:00;150
Брест;13.03.2024;04:00;150
Брест;13.03.2024;06:00;150
Брест;13.03.2024;08:00;150
Брест;13.03.2024;10:00;180
Брест;13.03.2024;12:00;250
Брест;13.03.2024;14:00;250
Брест;13.03.2024;16:00;260
Брест;13.03.2024;18:00;280
Брест;13.03.2024;20:00;120
Брест;13.03.2024;22:00;80
Каменный лог;13.03.2024;00:00;90
Каменный лог;13.03.2024;02:00;50
Каменный лог;13.03.2024;04:00;50
Каменный лог;13.03.2024;06:00;30
Каменный лог;13.03.2024;08:00;30
Каменный лог;13.03.2024;10:00;50
Каменный лог;13.03.2024;12:00;70
Каменный лог;13.03.2024;14:00;90
Каменный лог;13.03.2024;16:00;120
Каменный лог;13.03.2024;18:00;130
Каменный лог;13.03.2024;20:00;130
Каменный лог;13.03.2024;22:00;140
Бенякони;13.03.2024;00:00;130
Бенякони;13.03.2024;02:00;120
Бенякони;13.03.2024;04:00;130
Бенякони;13.03.2024;06:00;130
Бенякони;13.03.2024;08:00;70
Бенякони;13.03.2024;10:00;80
Бенякони;13.03.2024;12:00;65
Бенякони;13.03.2024;14:00;95
Бенякони;13.03.2024;16:00;100
Бенякони;13.03.2024;18:00;100
Бенякони;13.03.2024;20:00;100
Бенякони;13.03.2024;22:00;100
Григоровщина;13.03.2024;00:00;0
Григоровщина;13.03.2024;02:00;0
Григоровщина;13.03.2024;04:00;0
Григоровщина;13.03.2024;06:00;0
Григоровщина;13.03.2024;08:00;0
Григоровщина;13.03.2024;10:00;0
Григоровщина;13.03.2024;12:00;0
Григоровщина;13.03.2024;14:00;0
Григоровщина;13.03.2024;16:00;15
Григоровщина;13.03.2024;18:00;15
Григоровщина;13.03.2024;20:00;30
Григоровщина;13.03.2024;22:00;30
