Погран. переход;Дата;Время;Очередь на выезд
Брест;28.02.2024;00:00;220
Брест;28.02.2024;02:00;190
Брест;28.02.2024;04:00;160
Брест;28.02.2024;06:00;60
Брест;28.02.2024;08:00;80
Брест;28.02.2024;10:00;60
Брест;28.02.2024;14:00;40
Брест;28.02.2024;16:00;60
Брест;28.02.2024;18:00;70
Брест;28.02.2024;20:00;70
Брест;28.02.2024;22:00;110
Каменный лог;28.02.2024;00:00;40
Каменный лог;28.02.2024;02:00;40
Каменный лог;28.02.2024;04:00;40
Каменный лог;28.02.2024;06:00;20
Каменный лог;28.02.2024;08:00;20
Каменный лог;28.02.2024;10:00;20
Каменный лог;28.02.2024;14:00;30
Каменный лог;28.02.2024;16:00;50
Каменный лог;28.02.2024;18:00;70
Каменный лог;28.02.2024;20:00;95
Каменный лог;28.02.2024;22:00;110
Бенякони;28.02.2024;00:00;10
Бенякони;28.02.2024;02:00;20
Бенякони;28.02.2024;04:00;0
Бенякони;28.02.2024;06:00;0
Бенякони;28.02.2024;08:00;10
Бенякони;28.02.2024;10:00;20
Бенякони;28.02.2024;14:00;70
Бенякони;28.02.2024;16:00;60
Бенякони;28.02.2024;18:00;70
Бенякони;28.02.2024;20:00;70
Бенякони;28.02.2024;22:00;70
Григоровщина;28.02.2024;00:00;0
Григоровщина;28.02.2024;02:00;0
Григоровщина;28.02.2024;04:00;0
Григоровщина;28.02.2024;06:00;0
Григоровщина;28.02.2024;08:00;0
Григоровщина;28.02.2024;10:00;0
Григоровщина;28.02.2024;14:00;0
Григоровщина;28.02.2024;16:00;0
Григоровщина;28.02.2024;18:00;15
Григоровщина;28.02.2024;20:00;15
Григоровщина;28.02.2024;22:00;10
