Погран. переход;Дата;Время;Очередь на выезд
Брест;14.03.2024;00:00;50
Брест;14.03.2024;02:00;60
Брест;14.03.2024;04:00;60
Брест;14.03.2024;06:00;0
Брест;14.03.2024;08:00;0
Брест;14.03.2024;10:00;0
Брест;14.03.2024;12:00;0
Брест;14.03.2024;14:00;0
Брест;14.03.2024;16:00;0
Брест;14.03.2024;18:00;0
Брест;14.03.2024;20:00;0
Брест;14.03.2024;22:00;75
Каменный лог;14.03.2024;00:00;150
Каменный лог;14.03.2024;02:00;160
Каменный лог;14.03.2024;04:00;170
Каменный лог;14.03.2024;06:00;180
Каменный лог;14.03.2024;08:00;190
Каменный лог;14.03.2024;10:00;190
Каменный лог;14.03.2024;12:00;190
Каменный лог;14.03.2024;14:00;180
Каменный лог;14.03.2024;16:00;180
Каменный лог;14.03.2024;18:00;150
Каменный лог;14.03.2024;20:00;150
Каменный лог;14.03.2024;22:00;100
Бенякони;14.03.2024;00:00;110
Бенякони;14.03.2024;02:00;105
Бенякони;14.03.2024;04:00;100
Бенякони;14.03.2024;06:00;100
Бенякони;14.03.2024;08:00;95
Бенякони;14.03.2024;10:00;105
Бенякони;14.03.2024;12:00;120
Бенякони;14.03.2024;14:00;120
Бенякони;14.03.2024;16:00;140
Бенякони;14.03.2024;18:00;140
Бенякони;14.03.2024;20:00;140
Бенякони;14.03.2024;22:00;140
Григоровщина;14.03.2024;00:00;30
Григоровщина;14.03.2024;02:00;40
Григоровщина;14.03.2024;04:00;10
Григоровщина;14.03.2024;06:00;20
Григоровщина;14.03.2024;08:00;10
Григоровщина;14.03.2024;10:00;20
Григоровщина;14.03.2024;12:00;40
Григоровщина;14.03.2024;14:00;50
Григоровщина;14.03.2024;16:00;65
Григоровщина;14.03.2024;18:00;80
Григоровщина;14.03.2024;20:00;80
Григоровщина;14.03.2024;22:00;100
