Погран. переход;Дата;Время;Очередь на выезд
Брест;21.02.2024;00:00;150
Брест;21.02.2024;02:00;110
Брест;21.02.2024;04:00;35
Брест;21.02.2024;06:00;0
Брест;21.02.2024;08:00;0
Брест;21.02.2024;10:00;0
Брест;21.02.2024;12:00;20
Брест;21.02.2024;14:00;20
Брест;21.02.2024;16:00;50
Брест;21.02.2024;18:00;90
Брест;21.02.2024;20:00;150
Брест;21.02.2024;22:00;150
Каменный лог;21.02.2024;00:00;80
Каменный лог;21.02.2024;02:00;60
Каменный лог;21.02.2024;04:00;20
Каменный лог;21.02.2024;06:00;0
Каменный лог;21.02.2024;08:00;0
Каменный лог;21.02.2024;10:00;15
Каменный лог;21.02.2024;12:00;30
Каменный лог;21.02.2024;14:00;50
Каменный лог;21.02.2024;16:00;50
Каменный лог;21.02.2024;18:00;60
Каменный лог;21.02.2024;20:00;80
Каменный лог;21.02.2024;22:00;100
Бенякони;21.02.2024;00:00;90
Бенякони;21.02.2024;02:00;90
Бенякони;21.02.2024;04:00;95
Бенякони;21.02.2024;06:00;60
Бенякони;21.02.2024;08:00;45
Бенякони;21.02.2024;10:00;35
Бенякони;21.02.2024;12:00;45
Бенякони;21.02.2024;14:00;60
Бенякони;21.02.2024;16:00;80
Бенякони;21.02.2024;18:00;80
Бенякони;21.02.2024;20:00;70
Бенякони;21.02.2024;22:00;60
Григоровщина;21.02.2024;00:00;0
Григоровщина;21.02.2024;02:00;0
Григоровщина;21.02.2024;04:00;0
Григоровщина;21.02.2024;06:00;0
Григоровщина;21.02.2024;08:00;0
Григоровщина;21.02.2024;10:00;0
Григоровщина;21.02.2024;12:00;0
Григоровщина;21.02.2024;14:00;0
Григоровщина;21.02.2024;16:00;0
Григоровщина;21.02.2024;18:00;0
Григоровщина;21.02.2024;20:00;0
Григоровщина;21.02.2024;22:00;0
