Погран. переход;Дата;Время;Очередь на выезд
Брест;22.04.2024;00:00;320
Брест;22.04.2024;02:00;320
Брест;22.04.2024;04:00;320
Брест;22.04.2024;06:00;320
Брест;22.04.2024;08:00;250
Брест;22.04.2024;10:00;250
Брест;22.04.2024;12:00;300
Брест;22.04.2024;14:00;300
Брест;22.04.2024;16:00;300
Брест;22.04.2024;18:00;350
Брест;22.04.2024;20:00;350
Брест;22.04.2024;22:00;330
Каменный лог;22.04.2024;00:00;140
Каменный лог;22.04.2024;02:00;140
Каменный лог;22.04.2024;04:00;120
Каменный лог;22.04.2024;06:00;120
Каменный лог;22.04.2024;08:00;110
Каменный лог;22.04.2024;10:00;110
Каменный лог;22.04.2024;12:00;120
Каменный лог;22.04.2024;14:00;120
Каменный лог;22.04.2024;16:00;110
Каменный лог;22.04.2024;18:00;100
Каменный лог;22.04.2024;20:00;80
Каменный лог;22.04.2024;22:00;90
Бенякони;22.04.2024;00:00;130
Бенякони;22.04.2024;02:00;100
Бенякони;22.04.2024;04:00;90
Бенякони;22.04.2024;06:00;80
Бенякони;22.04.2024;08:00;80
Бенякони;22.04.2024;10:00;90
Бенякони;22.04.2024;12:00;100
Бенякони;22.04.2024;14:00;110
Бенякони;22.04.2024;16:00;125
Бенякони;22.04.2024;18:00;100
Бенякони;22.04.2024;20:00;90
Бенякони;22.04.2024;22:00;80
Григоровщина;22.04.2024;00:00;0
Григоровщина;22.04.2024;02:00;0
Григоровщина;22.04.2024;04:00;0
Григоровщина;22.04.2024;06:00;0
Григоровщина;22.04.2024;08:00;0
Григоровщина;22.04.2024;10:00;0
Григоровщина;22.04.2024;12:00;0
Григоровщина;22.04.2024;14:00;0
Григоровщина;22.04.2024;16:00;0
Григоровщина;22.04.2024;18:00;0
Григоровщина;22.04.2024;20:00;0
Григоровщина;22.04.2024;22:00;0
