Погран. переход;Дата;Время;Очередь на выезд
Брест;03.02.2024;00:00;120
Брест;03.02.2024;02:00;110
Брест;03.02.2024;04:00;80
Брест;03.02.2024;06:00;80
Брест;03.02.2024;08:00;0
Брест;03.02.2024;10:00;0
Брест;03.02.2024;12:00;0
Брест;03.02.2024;14:00;0
Брест;03.02.2024;16:00;0
Брест;03.02.2024;18:00;0
Брест;03.02.2024;20:00;0
Брест;03.02.2024;22:00;0
Каменный лог;03.02.2024;00:00;0
Каменный лог;03.02.2024;02:00;0
Каменный лог;03.02.2024;04:00;0
Каменный лог;03.02.2024;06:00;0
Каменный лог;03.02.2024;08:00;0
Каменный лог;03.02.2024;10:00;0
Каменный лог;03.02.2024;12:00;0
Каменный лог;03.02.2024;14:00;0
Каменный лог;03.02.2024;16:00;0
Каменный лог;03.02.2024;18:00;0
Каменный лог;03.02.2024;20:00;0
Каменный лог;03.02.2024;22:00;0
Бенякони;03.02.2024;00:00;0
Бенякони;03.02.2024;02:00;0
Бенякони;03.02.2024;04:00;0
Бенякони;03.02.2024;06:00;0
Бенякони;03.02.2024;08:00;0
Бенякони;03.02.2024;10:00;0
Бенякони;03.02.2024;12:00;0
Бенякони;03.02.2024;14:00;0
Бенякони;03.02.2024;16:00;0
Бенякони;03.02.2024;18:00;0
Бенякони;03.02.2024;20:00;0
Бенякони;03.02.2024;22:00;0
Григоровщина;03.02.2024;00:00;0
Григоровщина;03.02.2024;02:00;0
Григоровщина;03.02.2024;04:00;0
Григоровщина;03.02.2024;06:00;0
Григоровщина;03.02.2024;08:00;0
Григоровщина;03.02.2024;10:00;0
Григоровщина;03.02.2024;12:00;0
Григоровщина;03.02.2024;14:00;0
Григоровщина;03.02.2024;16:00;0
Григоровщина;03.02.2024;18:00;0
Григоровщина;03.02.2024;20:00;0
Григоровщина;03.02.2024;22:00;0
