Погран. переход;Дата;Время;Очередь на выезд
Брест;10.01.2024;00:00;220
Брест;10.01.2024;02:00;220
Брест;10.01.2024;04:00;220
Брест;10.01.2024;06:00;150
Брест;10.01.2024;08:00;120
Брест;10.01.2024;10:00;100
Брест;10.01.2024;12:00;100
Брест;10.01.2024;14:00;100
Брест;10.01.2024;16:00;120
Брест;10.01.2024;18:00;160
Брест;10.01.2024;20:00;180
Брест;10.01.2024;22:00;240
Каменный лог;10.01.2024;00:00;0
Каменный лог;10.01.2024;02:00;0
Каменный лог;10.01.2024;04:00;0
Каменный лог;10.01.2024;06:00;0
Каменный лог;10.01.2024;08:00;10
Каменный лог;10.01.2024;10:00;20
Каменный лог;10.01.2024;12:00;40
Каменный лог;10.01.2024;14:00;45
Каменный лог;10.01.2024;16:00;70
Каменный лог;10.01.2024;18:00;75
Каменный лог;10.01.2024;20:00;85
Каменный лог;10.01.2024;22:00;90
Бенякони;10.01.2024;00:00;70
Бенякони;10.01.2024;02:00;70
Бенякони;10.01.2024;04:00;55
Бенякони;10.01.2024;06:00;45
Бенякони;10.01.2024;08:00;55
Бенякони;10.01.2024;10:00;60
Бенякони;10.01.2024;12:00;50
Бенякони;10.01.2024;14:00;50
Бенякони;10.01.2024;16:00;60
Бенякони;10.01.2024;18:00;85
Бенякони;10.01.2024;20:00;70
Бенякони;10.01.2024;22:00;70
Григоровщина;10.01.2024;00:00;0
Григоровщина;10.01.2024;02:00;0
Григоровщина;10.01.2024;04:00;0
Григоровщина;10.01.2024;06:00;0
Григоровщина;10.01.2024;08:00;0
Григоровщина;10.01.2024;10:00;0
Григоровщина;10.01.2024;12:00;0
Григоровщина;10.01.2024;14:00;0
Григоровщина;10.01.2024;16:00;0
Григоровщина;10.01.2024;18:00;0
Григоровщина;10.01.2024;20:00;0
Григоровщина;10.01.2024;22:00;0
