Погран. переход;Дата;Время;Очередь на выезд
Брест;24.03.2024;00:00;190
Брест;24.03.2024;02:00;230
Брест;24.03.2024;04:00;250
Брест;24.03.2024;06:00;220
Брест;24.03.2024;08:00;220
Брест;24.03.2024;10:00;220
Брест;24.03.2024;12:00;300
Брест;24.03.2024;14:00;350
Брест;24.03.2024;16:00;350
Брест;24.03.2024;18:00;380
Брест;24.03.2024;20:00;350
Брест;24.03.2024;22:00;350
Каменный лог;24.03.2024;00:00;105
Каменный лог;24.03.2024;02:00;125
Каменный лог;24.03.2024;04:00;120
Каменный лог;24.03.2024;06:00;115
Каменный лог;24.03.2024;08:00;125
Каменный лог;24.03.2024;10:00;150
Каменный лог;24.03.2024;12:00;160
Каменный лог;24.03.2024;14:00;180
Каменный лог;24.03.2024;16:00;190
Каменный лог;24.03.2024;18:00;180
Каменный лог;24.03.2024;20:00;170
Каменный лог;24.03.2024;22:00;170
Бенякони;24.03.2024;00:00;150
Бенякони;24.03.2024;02:00;150
Бенякони;24.03.2024;04:00;140
Бенякони;24.03.2024;06:00;130
Бенякони;24.03.2024;08:00;120
Бенякони;24.03.2024;10:00;110
Бенякони;24.03.2024;12:00;115
Бенякони;24.03.2024;14:00;110
Бенякони;24.03.2024;16:00;110
Бенякони;24.03.2024;18:00;115
Бенякони;24.03.2024;20:00;120
Бенякони;24.03.2024;22:00;140
Григоровщина;24.03.2024;00:00;0
Григоровщина;24.03.2024;02:00;0
Григоровщина;24.03.2024;04:00;0
Григоровщина;24.03.2024;06:00;0
Григоровщина;24.03.2024;08:00;0
Григоровщина;24.03.2024;10:00;0
Григоровщина;24.03.2024;12:00;15
Григоровщина;24.03.2024;14:00;30
Григоровщина;24.03.2024;16:00;45
Григоровщина;24.03.2024;18:00;70
Григоровщина;24.03.2024;20:00;70
Григоровщина;24.03.2024;22:00;70
