Погран. переход;Дата;Время;Очередь на выезд
Брест;06.04.2024;00:00;300
Брест;06.04.2024;02:00;300
Брест;06.04.2024;04:00;300
Брест;06.04.2024;06:00;300
Брест;06.04.2024;08:00;300
Брест;06.04.2024;10:00;300
Брест;06.04.2024;12:00;230
Брест;06.04.2024;14:00;180
Брест;06.04.2024;16:00;160
Брест;06.04.2024;18:00;250
Брест;06.04.2024;20:00;230
Брест;06.04.2024;22:00;230
Каменный лог;06.04.2024;00:00;80
Каменный лог;06.04.2024;02:00;80
Каменный лог;06.04.2024;04:00;90
Каменный лог;06.04.2024;06:00;80
Каменный лог;06.04.2024;08:00;70
Каменный лог;06.04.2024;10:00;90
Каменный лог;06.04.2024;12:00;100
Каменный лог;06.04.2024;14:00;110
Каменный лог;06.04.2024;16:00;100
Каменный лог;06.04.2024;18:00;110
Каменный лог;06.04.2024;20:00;110
Каменный лог;06.04.2024;22:00;90
Бенякони;06.04.2024;00:00;120
Бенякони;06.04.2024;02:00;100
Бенякони;06.04.2024;04:00;85
Бенякони;06.04.2024;06:00;70
Бенякони;06.04.2024;08:00;70
Бенякони;06.04.2024;10:00;65
Бенякони;06.04.2024;12:00;60
Бенякони;06.04.2024;14:00;60
Бенякони;06.04.2024;16:00;80
Бенякони;06.04.2024;18:00;90
Бенякони;06.04.2024;20:00;90
Бенякони;06.04.2024;22:00;90
Григоровщина;06.04.2024;00:00;0
Григоровщина;06.04.2024;02:00;0
Григоровщина;06.04.2024;04:00;0
Григоровщина;06.04.2024;06:00;0
Григоровщина;06.04.2024;08:00;0
Григоровщина;06.04.2024;10:00;0
Григоровщина;06.04.2024;12:00;0
Григоровщина;06.04.2024;14:00;0
Григоровщина;06.04.2024;16:00;0
Григоровщина;06.04.2024;18:00;10
Григоровщина;06.04.2024;20:00;10
Григоровщина;06.04.2024;22:00;0
