Погран. переход;Дата;Время;Очередь на выезд
Брест;02.01.2024;00:00;65
Брест;02.01.2024;02:00;0
Брест;02.01.2024;04:00;0
Брест;02.01.2024;06:00;75
Брест;02.01.2024;08:00;70
Брест;02.01.2024;10:00;130
Брест;02.01.2024;12:00;150
Брест;02.01.2024;14:00;150
Брест;02.01.2024;16:00;220
Брест;02.01.2024;18:00;220
Брест;02.01.2024;20:00;220
Брест;02.01.2024;22:00;200
Каменный лог;02.01.2024;00:00;0
Каменный лог;02.01.2024;02:00;0
Каменный лог;02.01.2024;04:00;0
Каменный лог;02.01.2024;06:00;0
Каменный лог;02.01.2024;08:00;0
Каменный лог;02.01.2024;10:00;10
Каменный лог;02.01.2024;12:00;0
Каменный лог;02.01.2024;14:00;25
Каменный лог;02.01.2024;16:00;30
Каменный лог;02.01.2024;18:00;30
Каменный лог;02.01.2024;20:00;25
Каменный лог;02.01.2024;22:00;35
Бенякони;02.01.2024;00:00;0
Бенякони;02.01.2024;02:00;0
Бенякони;02.01.2024;04:00;0
Бенякони;02.01.2024;06:00;0
Бенякони;02.01.2024;08:00;0
Бенякони;02.01.2024;10:00;0
Бенякони;02.01.2024;12:00;0
Бенякони;02.01.2024;14:00;0
Бенякони;02.01.2024;16:00;25
Бенякони;02.01.2024;18:00;45
Бенякони;02.01.2024;20:00;50
Бенякони;02.01.2024;22:00;70
Григоровщина;02.01.2024;00:00;0
Григоровщина;02.01.2024;02:00;0
Григоровщина;02.01.2024;04:00;0
Григоровщина;02.01.2024;06:00;0
Григоровщина;02.01.2024;08:00;0
Григоровщина;02.01.2024;10:00;0
Григоровщина;02.01.2024;12:00;0
Григоровщина;02.01.2024;14:00;0
Григоровщина;02.01.2024;16:00;0
Григоровщина;02.01.2024;18:00;0
Григоровщина;02.01.2024;20:00;0
Григоровщина;02.01.2024;22:00;0
