Погран. переход;Дата;Время;Очередь на выезд
Брест;05.03.2024;00:00;350
Брест;05.03.2024;02:00;350
Брест;05.03.2024;04:00;350
Брест;05.03.2024;06:00;350
Брест;05.03.2024;08:00;350
Брест;05.03.2024;10:00;340
Брест;05.03.2024;12:00;350
Брест;05.03.2024;14:00;240
Брест;05.03.2024;16:00;280
Брест;05.03.2024;18:00;280
Брест;05.03.2024;20:00;290
Брест;05.03.2024;22:00;290
Каменный лог;05.03.2024;00:00;70
Каменный лог;05.03.2024;02:00;50
Каменный лог;05.03.2024;04:00;50
Каменный лог;05.03.2024;06:00;70
Каменный лог;05.03.2024;08:00;50
Каменный лог;05.03.2024;10:00;50
Каменный лог;05.03.2024;12:00;40
Каменный лог;05.03.2024;14:00;50
Каменный лог;05.03.2024;16:00;70
Каменный лог;05.03.2024;18:00;60
Каменный лог;05.03.2024;20:00;40
Каменный лог;05.03.2024;22:00;40
Бенякони;05.03.2024;00:00;60
Бенякони;05.03.2024;02:00;40
Бенякони;05.03.2024;04:00;30
Бенякони;05.03.2024;06:00;30
Бенякони;05.03.2024;08:00;30
Бенякони;05.03.2024;10:00;70
Бенякони;05.03.2024;12:00;50
Бенякони;05.03.2024;14:00;70
Бенякони;05.03.2024;16:00;85
Бенякони;05.03.2024;18:00;100
Бенякони;05.03.2024;20:00;90
Бенякони;05.03.2024;22:00;80
Григоровщина;05.03.2024;00:00;0
Григоровщина;05.03.2024;02:00;0
Григоровщина;05.03.2024;04:00;0
Григоровщина;05.03.2024;06:00;0
Григоровщина;05.03.2024;08:00;0
Григоровщина;05.03.2024;10:00;0
Григоровщина;05.03.2024;12:00;0
Григоровщина;05.03.2024;14:00;0
Григоровщина;05.03.2024;16:00;0
Григоровщина;05.03.2024;18:00;0
Григоровщина;05.03.2024;20:00;0
Григоровщина;05.03.2024;22:00;0
