Погран. переход;Дата;Время;Очередь на выезд
Брест;18.01.2024;00:00;0
Брест;18.01.2024;02:00;0
Брест;18.01.2024;04:00;0
Брест;18.01.2024;06:00;0
Брест;18.01.2024;08:00;0
Брест;18.01.2024;10:00;0
Брест;18.01.2024;12:00;0
Брест;18.01.2024;14:00;0
Брест;18.01.2024;16:00;0
Брест;18.01.2024;18:00;0
Брест;18.01.2024;20:00;0
Брест;18.01.2024;22:00;0
Каменный лог;18.01.2024;00:00;50
Каменный лог;18.01.2024;02:00;30
Каменный лог;18.01.2024;04:00;30
Каменный лог;18.01.2024;06:00;20
Каменный лог;18.01.2024;08:00;20
Каменный лог;18.01.2024;10:00;20
Каменный лог;18.01.2024;12:00;20
Каменный лог;18.01.2024;14:00;15
Каменный лог;18.01.2024;16:00;30
Каменный лог;18.01.2024;18:00;10
Каменный лог;18.01.2024;20:00;10
Каменный лог;18.01.2024;22:00;0
Бенякони;18.01.2024;00:00;0
Бенякони;18.01.2024;02:00;20
Бенякони;18.01.2024;04:00;15
Бенякони;18.01.2024;06:00;20
Бенякони;18.01.2024;08:00;20
Бенякони;18.01.2024;10:00;30
Бенякони;18.01.2024;12:00;50
Бенякони;18.01.2024;14:00;65
Бенякони;18.01.2024;16:00;90
Бенякони;18.01.2024;18:00;70
Бенякони;18.01.2024;20:00;30
Бенякони;18.01.2024;22:00;10
Григоровщина;18.01.2024;00:00;0
Григоровщина;18.01.2024;02:00;0
Григоровщина;18.01.2024;04:00;0
Григоровщина;18.01.2024;06:00;0
Григоровщина;18.01.2024;08:00;0
Григоровщина;18.01.2024;10:00;0
Григоровщина;18.01.2024;12:00;0
Григоровщина;18.01.2024;14:00;0
Григоровщина;18.01.2024;16:00;0
Григоровщина;18.01.2024;18:00;0
Григоровщина;18.01.2024;20:00;0
Григоровщина;18.01.2024;22:00;0
